RCM	IDT	MaxDp	
0.972424	1240.13	0.21512605	48015.3
0.988338593	2661.64	0.176315789	44001.9
1.001696072	4611.14	0.179317269	43001.33
1.020961045	9003.88	0.151882353	71008.61
1.036201137	15856.7	0.150809249	39002.01
1.0588321	35960.82	0.148153291	36012.5
1.07419843	58193.93	0.107863341	38990.37
1.09119034	96624.29	0.122854428	39929.21
