RCM	IDT	MaxDp	
0.977342274	1342.51	0.194074074	54007.75
0.992973718	2570.49	0.195330739	44965.48
1.007919425	4593.82	0.179830149	46997.7
1.024468088	8277.19	0.154017305	40015.65
1.04016666	14697.11	0.166152858	46998.84
1.058747125	27255.3	0.151846832	36005.3
1.075520697	42542.12	0.122987963	38007.21
1.090212108	61988	0.137179691	36988.83
