PSR	m_SP	4	DeltaTemp	H2	O2	CO					
825	0.00	0.1	825	0.029174	0.1	825	0.0300000	0.1	825	0.0000000	0.1
842	0.00	0.1	842	0.029174	0.1	842	0.0302540	0.1	842	0.0000000	0.1
849	0.00	0.1	849	0.029174	0.1	849	0.0300000	0.1	849	0.0000000	0.1
865	0.00	0.1	865	0.029174	0.1	865	0.0302540	0.1	865	0.0000000	0.1
877	0.00	0.1	877	0.029174	0.1	877	0.0300000	0.1	877	0.0000000	0.1
897	3.00	0.1	897	0.027083	0.1	897	0.0292645	0.1	897	0.0000000	0.1
903	5.00	0.1	903	0.024838	0.1	903	0.0281050	0.1	903	0.0000000	0.1
916	8.00	0.1	916	0.021903	0.1	916	0.0267625	0.1	916	0.0000000	0.1
929	12.00	0.1	929	0.019182	0.1	929	0.0254605	0.1	929	0.0000800	0.1
938	15.00	0.1	938	0.014982	0.1	938	0.0235355	0.1	938	0.0001670	0.1
943	17.53	0.1	943	0.011587	0.1	943	0.0217830	0.1	943	0.0002235	0.1
960	18.00	0.1	960	0.009448	0.1	960	0.0208215	0.1	960	0.0002730	0.1
963	18.80	0.1	963	0.006918	0.1	963	0.0197600	0.1	963	0.0003615	0.1
980	18.80	0.1	980	0.005760	0.1	980	0.0192745	0.1	980	0.0003975	0.1
987	18.00	0.1	987	0.004525	0.1	987	0.0187185	0.1	987	0.0004475	0.1
998	19.15	0.1	998	0.003286	0.1	998	0.0181100	0.1	998	0.0004670	0.1
1007	19.50	0.1	1007	0.002217	0.1	1007	0.0176705	0.1	1007	0.0005210	0.1
