PFR	Species	N2
1273.15	3.06e-06	0.1
1323.15	6.12e-06	0.1
1373.15	1.77e-05	0.1
1423.15	5.17e-05	0.1
1473.15	0.000171242	0.1
1523.15	0.000380654	0.1
1573.15	0.00047581699999999996	0.1
1623.15	0.000513203	0.1
1673.15	0.000451242	0.1
1723.15	0.000426144	0.1
1773.15	0.000418301	0.1
1823.15	0.000407843	0.1
1873.15	0.000405229	0.1
1923.15	0.000405229	0.1
1973.15	0.0004	0.1
