PFR	Species	NO
1273.15	9.1e-07	0.1
1323.15	1.24e-06	0.1
1373.15	1.62e-06	0.1
1423.15	2.14e-06	0.1
1473.15	5.25e-06	0.1
1523.15	1.64e-05	0.1
1573.15	8.159999999999999e-05	0.1
1623.15	0.000107983	0.1
1673.15	0.000130175	0.1
1723.15	0.00015096899999999998	0.1
1773.15	0.000163547	0.1
1823.15	0.000178027	0.1
1873.15	0.00018481	0.1
1923.15	0.000188442	0.1
1973.15	0.00019423099999999998	0.1
