PFR	Species	O2
1273.15	0.002	0.1
1323.15	0.002	0.1
1373.15	0.001928287	0.1
1423.15	0.002023904	0.1
1473.15	0.001569721	0.1
1523.15	0.001505976	0.1
1573.15	0.001219124	0.1
1623.15	0.001211155	0.1
1673.15	0.001191235	0.1
1723.15	0.001190283	0.1
1773.15	0.001174089	0.1
1823.15	0.001174089	0.1
1873.15	0.001157895	0.1
1923.15	0.001153846	0.1
1973.15	0.001157895	0.1
