PFR	Species	H2O
1273.15	0.0	0.1
1323.15	2.97e-06	0.1
1373.15	1.49e-05	0.1
1423.15	8.609999999999999e-05	0.1
1473.15	0.000510891	0.1
1523.15	0.000864356	0.1
1573.15	0.001476238	0.1
1623.15	0.0015	0.1
1673.15	0.0015	0.1
1723.15	0.001627551	0.1
1773.15	0.0015765310000000002	0.1
1823.15	0.0015	0.1
1873.15	0.0015	0.1
1923.15	0.0015	0.1
1973.15	0.00147449	0.1
