 ----------------------------------------------------------------------------------------------------------------------------------
                       VISCOSITY FITTING COEFFICIENTS    

             mu = exp( A + B*logT + C*(logT)^2 + D*(logT)^3 )  [kg/m/s]      

    Species                         A                 B              C                 D              mu(298K)        mu(1000K)    
   52. DMM-ketR_L              -2.651199e+01     4.592978e+00    -4.543312e-01     1.738179e-02     6.945145e-06     2.177327e-05
   53. DMM-cycleth_L           -2.561437e+01     4.062557e+00    -3.736469e-01     1.343241e-02     5.486434e-06     1.750540e-05
   54. DMM-QOOH_L              -2.542116e+01     3.998666e+00    -3.639859e-01     1.296219e-02     5.801473e-06     1.854827e-05
   55. DMM-O2QOOH_L            -2.259833e+01     2.621076e+00    -1.601757e-01     3.187533e-03     4.665995e-06     1.534031e-05
   56. DMM-OQOOH_L             -2.229399e+01     2.471957e+00    -1.384018e-01     2.154401e-03     4.530221e-06     1.492732e-05
   57. DMM-R2OOH_L             -2.259833e+01     2.621076e+00    -1.601757e-01     3.187533e-03     4.665995e-06     1.534031e-05
   58. DMM-ketRO_L             -2.468920e+01     3.641369e+00    -3.103972e-01     1.036822e-02     5.552182e-06     1.792679e-05
   59. CH2OCHO                 -2.633793e+01     4.768959e+00    -4.825030e-01     1.880800e-02     1.175209e-05     3.645950e-05

 ----------------------------------------------------------------------------------------------------------------------------------


 ----------------------------------------------------------------------------------------------------------------------------------
                       THERMAL CONDUCTIVITY FITTING COEFFICIENTS    

           lambda = exp( A + B*logT + C*(logT)^2 + D*(logT)^3 )  [W/m/K]      

    Species                         A                 B              C                 D           lambda(298K)     lambda(1000K)  
 ----------------------------------------------------------------------------------------------------------------------------------

    1. N2                       3.182526e-01    -3.030211e+00     5.704898e-01    -2.818290e-02     2.624908e-02     6.848190e-02
    2. H2                       1.342179e-01    -1.605525e+00     2.915939e-01    -1.152673e-02     1.864134e-01     4.309499e-01
    3. H                       -1.179990e+01     3.389886e+00    -3.580432e-01     1.556519e-02     2.922324e-01     7.134770e-01
    4. O2                      -1.386799e+01     3.122746e+00    -3.111950e-01     1.375382e-02     2.639410e-02     7.334099e-02
