PSR	Species	NO
1064.6	0.002912427	0.06
1075.5	0.002919943	0.06
1093.3	0.002912951	0.06
1114	0.002913331	0.06
1124.9	0.002913529	0.06
1142.6	0.00289922	0.06
1158.3	0.002819019	0.06
1166	0.002694769	0.06
1171.2	0.002241206	0.06
1163.8	0.001948387	0.06
1167.2	0.001041133	0.06
1183.7	0.000843874	0.06
1178.6	0.000734024	0.06
1182.2	0.000558481	0.06
1188	0.000492734	0.06
1207.5	0.00031748	0.06
1221	0.000134801	0.06
1245.7	9.87E-05	0.06
1278.3	0.000143166	0.06
1299.2	0.000216718	0.06
1313.2	0.000334048	0.06
1332.2	0.000444151	0.06
1352.1	0.000583541	0.06
1379.2	0.000854768	0.06
1400.4	0.001081984	0.06
1423.5	0.001353139	0.06
