PSR	Species	NO
957.8	0.000785	0.06
985.6	0.000793	0.06
1031.1	0.000811	0.06
1048.9	0.000808	0.06
1064.4	0.000813	0.06
1075.6	0.000812	0.06
1087.8	0.000812	0.06
1135.6	0.0007	0.06
1143.3	0.000492	0.06
1146.7	0.000354	0.06
1153.3	0.000282	0.06
1158.9	0.000218	0.06
1166.7	0.000176	0.06
1186.7	0.000113	0.06
1206.7	0.0000775	0.06
1235.6	0.0000686	0.06
1274.4	0.0000727	0.06
1311.1	0.000103	0.06
1355.6	0.000171	0.06
		
		
		
		
