PSR	Species	NO
1083.4	0.00294204	0.18
1106.1	0.002942455	0.18
1122.9	0.002942763	0.18
1136.8	0.002943015	0.18
1171.2	0.002841206	0.18
1177.0	0.002768141	0.18
1182.8	0.002709711	0.18
1194.7	0.000346514	0.18
1209.3	0.000229709	0.18
1219.1	0.000193303	0.18
1242.7	0.000120564	0.18
1272.3	9.18366E-05	0.18
1285.2	0.000121341	0.18
1298.1	0.000150845	0.18
1323.9	0.000246439	0.18
1343.8	0.000349243	0.18
1369.7	0.000474106	0.18
1385.7	0.000584155	0.18
1409.8	0.000789473	0.18
1430.8	0.001002054	0.18
